intersection_id,time_bin,vehicle_count,avg_speed,congestion_score,current_green,fuzzy_delta,suggested_green_fuzzy
175014490,2025-09-09 00:11:44,1,0.0,1.0,60.0,8,68.0
175014498#0,2025-09-09 00:11:44,1,0.0,1.0,60.0,7,67.0
639551506,2025-09-09 00:11:44,1,0.0,1.0,60.0,7,67.0
646279827#1,2025-09-09 00:11:44,1,0.0,1.0,60.0,7,67.0
655510551,2025-09-09 00:11:44,2,3.63,0.5,60.0,7,67.0
383209590,2025-09-09 00:11:45,2,45.33,0.0,24.77,8,32.77
539311818#1,2025-09-09 00:11:45,2,13.65,0.0,60.0,7,67.0
635304523#0,2025-09-09 00:11:45,5,35.33,0.0,40.07,7,47.07
655510551,2025-09-09 00:11:45,2,18.08,0.0,60.0,10,70.0
:1241525110_0,2025-09-09 00:11:45,1,31.36,0.0,45.02,7,52.02
:4605891308_3,2025-09-09 00:11:45,2,29.77,0.0,47.02,7,54.02
:cluster_1864383430_246182050_4745948567_4745948571_#4more_16,2025-09-09 00:11:45,1,8.18,0.0,60.0,7,67.0
:cluster_1864383430_246182050_4745948567_4745948571_#4more_9,2025-09-09 00:11:45,1,9.25,0.0,60.0,7,67.0
383209590,2025-09-09 00:11:46,4,57.96,0.0,13.94,7,20.94
383209590,2025-09-09 00:11:47,1,57.14,0.0,13.81,7,20.81
641575561,2025-09-09 00:11:47,5,58.56,0.0,14.04,7,21.04
:5214949230_1,2025-09-09 00:11:47,1,58.26,0.0,13.99,7,20.99
-644275180,2025-09-09 00:11:48,4,9.19,0.25,60.0,7,67.0
234962156#2,2025-09-09 00:11:48,1,0.0,1.0,60.0,7,67.0
633299799#0,2025-09-09 00:11:48,1,0.0,1.0,60.0,7,67.0
633575697,2025-09-09 00:11:48,3,58.9,0.0,14.1,8,22.1
761129507,2025-09-09 00:11:48,1,0.0,1.0,60.0,10,70.0
:cluster_6572484795_6726117605_8404168596_6,2025-09-09 00:11:48,1,24.62,0.0,53.88,7,60.88
644275182#1,2025-09-09 00:11:49,1,35.11,0.0,40.34,7,47.34
644275185#1,2025-09-09 00:11:49,5,40.82,0.0,32.57,7,39.57
:6572484796_0,2025-09-09 00:11:49,1,29.44,0.0,47.43,7,54.43
644275185#1,2025-09-09 00:11:50,7,41.98,0.0,30.76,10,40.76
644275185#1,2025-09-09 00:11:51,4,42.1,0.0,30.56,7,37.56
699889829,2025-09-09 00:11:51,3,41.69,0.0,31.23,10,41.23
:6572483175_1,2025-09-09 00:11:51,1,39.52,0.0,34.48,7,41.48
644414135#0,2025-09-09 00:11:52,1,40.73,0.0,32.71,10,42.71
644414135#1,2025-09-09 00:11:52,1,21.72,0.0,57.78,7,64.78
708424158#0,2025-09-09 00:11:52,1,36.69,0.0,38.32,7,45.32
:3922463566_1,2025-09-09 00:11:52,1,33.05,0.0,42.92,7,49.92
:3922463586_1,2025-09-09 00:11:52,1,33.83,0.0,41.95,7,48.95
:3922463589_1,2025-09-09 00:11:52,1,28.87,0.0,48.16,7,55.16
:cluster_6572483174_6572484787_8403834278_6,2025-09-09 00:11:52,1,40.4,0.0,33.2,7,40.2
:cluster_6572484789_8406907935_1,2025-09-09 00:11:52,1,35.99,0.0,39.22,8,47.22
-708424157,2025-09-09 00:11:53,5,42.25,0.0,30.32,7,37.32
708424158#1,2025-09-09 00:11:53,2,42.11,0.0,30.54,7,37.54
-708424157,2025-09-09 00:11:54,1,42.97,0.0,29.12,7,36.12
-708424160,2025-09-09 00:11:54,6,41.64,0.0,31.3,7,38.3
:5204561479_4,2025-09-09 00:11:54,1,41.64,0.0,31.3,7,38.3
-708424160,2025-09-09 00:11:55,8,41.06,0.0,32.21,7,39.21
-22886849#0,2025-09-09 00:11:56,3,40.99,0.0,32.31,7,39.31
-708424160,2025-09-09 00:11:56,3,41.61,0.0,31.36,7,38.36
721625949,2025-09-09 00:11:56,1,34.25,0.0,41.42,8,49.42
:6769425764_1,2025-09-09 00:11:56,1,41.43,0.0,31.63,7,38.63
-645114943#1,2025-09-09 00:11:57,2,40.5,0.0,33.05,7,40.05
699889836,2025-09-09 00:11:57,3,32.64,0.0,43.42,8,51.42
