intersection_id,time_bin,vehicle_count,avg_speed,congestion_score,current_green,fuzzy_delta,suggested_green_fuzzy
"(('7116487491', 0, 1.0052123012971244, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1304.7552123012974, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1540.1352123012975, 'r'))",2025-09-09 00:13:20,1,0.09,0.0,10.0,0.0,10.0
"(('7116487491', 0, 1.0304088164556156, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1304.7804088164557, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1540.1604088164559, 'r'))",2025-09-09 00:13:20,1,0.16,0.0,10.0,0.0,10.0
"(('7116487491', 0, 1.0742571622836898, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1304.8242571622839, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1540.2042571622837, 'r'))",2025-09-09 00:13:20,1,2.1,0.0,10.0,0.0,10.0
"(('7116487491', 0, 1.6574821892650817, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1305.4074821892652, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1540.7874821892651, 'r'))",2025-09-09 00:13:20,1,5.99,0.0,10.0,0.0,10.0
"(('7116487491', 0, 102.42975812874559, 'r'),)",2025-09-09 00:13:10,1,59.12,0.0,20.0,0.0,20.0
"(('7116487491', 0, 110.09578587916252, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1413.8457858791626, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1649.2257858791627, 'G'))",2025-09-09 00:13:20,1,67.23,0.0,10.0,0.0,10.0
"(('7116487491', 0, 112.27208679517827, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1416.0220867951782, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1651.402086795178, 'g'), ('cluster_3681802616_8393114933', 4, 1841.152086795178, 'y'))",2025-09-09 00:13:20,1,69.57,0.0,10.0,0.0,10.0
"(('7116487491', 0, 118.85222349229528, 'r'),)",2025-09-09 00:13:10,1,59.03,0.0,20.0,0.0,20.0
"(('7116487491', 0, 128.77024277813746, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1432.5202427781373, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1667.9002427781375, 'G'))",2025-09-09 00:13:20,1,68.22,0.0,10.0,0.0,10.0
"(('7116487491', 0, 131.59603569234363, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1435.3460356923435, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1670.7260356923434, 'g'), ('cluster_3681802616_8393114933', 4, 1860.4760356923434, 'y'))",2025-09-09 00:13:20,1,68.01,0.0,10.0,0.0,10.0
"(('7116487491', 0, 135.25056989114492, 'r'),)",2025-09-09 00:13:10,1,62.74,0.0,20.0,0.0,20.0
"(('7116487491', 0, 147.71965543617017, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1451.4696554361701, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1686.84965543617, 'G'))",2025-09-09 00:13:20,1,68.29,0.0,10.0,0.0,10.0
"(('7116487491', 0, 150.48824490980826, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1454.2382449098081, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1689.6182449098083, 'g'), ('cluster_3681802616_8393114933', 4, 1879.3682449098083, 'y'))",2025-09-09 00:13:20,1,70.59,0.0,10.0,0.0,10.0
"(('7116487491', 0, 152.67832180172394, 'r'),)",2025-09-09 00:13:10,1,62.01,0.0,20.0,0.0,20.0
"(('7116487491', 0, 166.68882440577693, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1470.4388244057768, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1705.818824405777, 'G'))",2025-09-09 00:13:20,1,67.1,0.0,10.0,0.0,10.0
"(('7116487491', 0, 169.9025003133125, 'r'),)",2025-09-09 00:13:10,1,58.95,0.0,20.0,0.0,20.0
"(('7116487491', 0, 17.2226130718509, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1320.9726130718511, 'y'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1556.352613071851, 'g'), ('cluster_3681802616_8393114933', 4, 1746.102613071851, 'r'))",2025-09-09 00:13:20,1,69.08,0.0,10.0,0.0,10.0
"(('7116487491', 0, 17.237429208136106, 'G'),)",2025-09-09 00:13:10,1,63.12,0.0,20.0,0.0,20.0
"(('7116487491', 0, 170.09580939355436, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1473.8458093935544, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1709.2258093935543, 'r'), ('cluster_3681802616_8393114933', 4, 1898.9758093935543, 'G'))",2025-09-09 00:13:20,1,70.3,0.0,10.0,0.0,10.0
"(('7116487491', 0, 185.3286108616175, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1489.0786108616176, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1724.4586108616177, 'G'))",2025-09-09 00:13:20,1,68.17,0.0,10.0,0.0,10.0
"(('7116487491', 0, 186.27765590035017, 'y'),)",2025-09-09 00:13:10,1,60.82,0.0,20.0,0.0,20.0
"(('7116487491', 0, 189.6246511207582, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1493.3746511207582, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1728.7546511207584, 'r'), ('cluster_3681802616_8393114933', 4, 1918.5046511207584, 'G'))",2025-09-09 00:13:20,1,69.68,0.0,10.0,0.0,10.0
